No.,Player,Position,Height,Points,Assists,Ds,Turns,Team,Division,Year
47,Walker Bohannan,,'"6''1"""',1,1,,,Birdfruit,Mixed,2018
67,Kelley Hall,,'"5''5"""',,1,,,Birdfruit,Mixed,2018
70,Tamara Hass,,,3,,,,Birdfruit,Mixed,2018
77,Ben McGinn,,,,,,,Birdfruit,Mixed,2018
0,Brielle Le Clear,,'"6''0"""',2,,,2,Toro,Mixed,2018
1,Kirkwood Alex Cloud,,'"1''0"""',2,4,1,3,Toro,Mixed,2018
2,Margie Quinn,,,,1,3,4,Toro,Mixed,2018
3,Dean Culver,,,1,2,,,Toro,Mixed,2018
5,Matthew Thomas,,,1,1,,5,Toro,Mixed,2018
7,Lyra Olson,,,1,1,2,6,Toro,Mixed,2018
8,Heather Zimmerman,,,19,13,,8,Toro,Mixed,2018
9,George Guthrie,,,1,4,2,5,Toro,Mixed,2018
10,Theran Riedel,,,3,1,2,,Toro,Mixed,2018
11,Maureen Belko,,'"5''7"""',,,,,Toro,Mixed,2018
11,Rica Melissa Garcia,,'"5''1"""',2,,,,Toro,Mixed,2018
11,Emma Peaslee,,,3,3,1,2,Toro,Mixed,2018
13,Kathryn Morrison,,,3,,3,2,Toro,Mixed,2018
14,Tanner Barcus,,'"6''1"""',16,8,6,7,Toro,Mixed,2018
15,Kerry Green,,,3,,,1,Toro,Mixed,2018
17,Dylan Shields,,'"6''0"""',4,1,,,Toro,Mixed,2018
19,'Tracy d''Arbeloff',,'"5''8"""',,,,,Toro,Mixed,2018
21,Vikram Sethuraman,,,9,4,3,2,Toro,Mixed,2018
22,Lucas Darden,,,4,10,2,13,Toro,Mixed,2018
25,Michael Pannone,,,11,6,7,3,Toro,Mixed,2018
27,Toni Gomes,,,4,2,,,Toro,Mixed,2018
30,Gentry Maddox,,,,,,,Toro,Mixed,2018
31,Alex Kaja,,'"5''9"""',6,17,,7,Toro,Mixed,2018
32,Jake Coleman,,'"6''3"""',8,1,6,,Toro,Mixed,2018
34,Tristan Green,,,3,14,4,12,Toro,Mixed,2018
43,Matthew Wilson,,,7,10,4,7,Toro,Mixed,2018
47,Ian Lawson,,,4,4,,2,Toro,Mixed,2018
66,Paul Weeks,,'"6''0"""',6,8,1,4,Toro,Mixed,2018
88,Christine Bookhout,,,16,9,3,6,Toro,Mixed,2018
95,Jackie Wang,,,10,11,5,8,Toro,Mixed,2018
0,Vespera Aragon,,,,,,,Lochsa,Mixed,2018
1,James Dahl,,'"5''10"""',,,,,Lochsa,Mixed,2018
2,Justin Solace,,,,,,,Lochsa,Mixed,2018
3,Amy Norris,,'"5''3"""',,,,,Lochsa,Mixed,2018
5,Trenton Pearsall,,,,,,,Lochsa,Mixed,2018
6,Oliver Atkinson,,'"2''5"""',,,,,Lochsa,Mixed,2018
8,Levi Archuleta,Handler,'"6''0"""',,,,,Lochsa,Mixed,2018
11,Brittany Ward,,,,,,,Lochsa,Mixed,2018
12,Suzie Walter,,,,,,,Lochsa,Mixed,2018
13,Ben Whitehead,,'"5''10"""',,,,,Lochsa,Mixed,2018
17,Ian Dipace,,'"1''0"""',,,,,Lochsa,Mixed,2018
19,Maria Quiñones,,,,,,,Lochsa,Mixed,2018
20,Camron Newton,,,,,,,Lochsa,Mixed,2018
21,Kelsey Breen,,,,,,,Lochsa,Mixed,2018
22,Jai Bansal,,'"5''9"""',,,,,Lochsa,Mixed,2018
22,Ryan Van Hook,,'"5''9"""',,,,,Lochsa,Mixed,2018
24,Sarah Staller,,,,,,,Lochsa,Mixed,2018
26,Andrea Kuenzli,,,,,,,Lochsa,Mixed,2018
27,Shannon Montaño,,,,,,,Lochsa,Mixed,2018
28,Daniel White,,'"6''2"""',,,,,Lochsa,Mixed,2018
29,Jack Kingsley,,'"6''3"""',,,,,Lochsa,Mixed,2018
33,Ben Nalezny,,,,,,,Lochsa,Mixed,2018
34,Reid Spain-Strombom,,,,,,,Lochsa,Mixed,2018
36,Kevin Farrell,,'"5''11"""',,,,,Lochsa,Mixed,2018
38,Cori Bigham,,,,,,,Lochsa,Mixed,2018
50,Ryan Hahn,,,,,,,Lochsa,Mixed,2018
77,Amanda Porter,,,,,,,Lochsa,Mixed,2018
88,Rebecca Hamilton,,'"5''8"""',,,,,Lochsa,Mixed,2018
,Sam Loveland,,,,,,,NOISE,Mixed,2018
0,Brian Hart,,,,,,,NOISE,Mixed,2018
0,Stephen Haynes,,'"5''7"""',,,,,NOISE,Mixed,2018
0,Brittany Hoegh,,,,,,,NOISE,Mixed,2018
0,Ashley Leyden,Dump,'"5''4"""',,,,,NOISE,Mixed,2018
0,Ben Parrell,,'"5''9"""',,,,,NOISE,Mixed,2018
0,Gordon Peterson,,'"4''7"""',,,,,NOISE,Mixed,2018
0,Kyle Weigand,,,13,1,1,6,NOISE,Mixed,2018
1,Francis Kelley,,,,2,,1,NOISE,Mixed,2018
3,Tanner Mayo,,'"6''2"""',,,,,NOISE,Mixed,2018
3,Cody Rebholz,,,1,4,2,4,NOISE,Mixed,2018
5,Eric Alexander,,,,,,,NOISE,Mixed,2018
6,Ian Hahn,,'"5''10"""',13,6,2,4,NOISE,Mixed,2018
7,Vanessa Cannaday,,'"5''5"""',3,,4,1,NOISE,Mixed,2018
8,Maria Signore Becker,,'"5''6"""',2,1,3,3,NOISE,Mixed,2018
9,Josh Wilson,,'"6''2"""',6,14,4,7,NOISE,Mixed,2018
10,Thomas Annen,,'"5''11"""',1,6,3,7,NOISE,Mixed,2018
10,Kristen Brenner,,'"5''2"""',,,,,NOISE,Mixed,2018
10,Jack Nelson,,'"6''2"""',,,,,NOISE,Mixed,2018
12,Chris Wilen,,,,,,,NOISE,Mixed,2018
13,Tessa Berry,,,,,,,NOISE,Mixed,2018
13,Becky LeDonne,,'"5''7"""',1,8,1,7,NOISE,Mixed,2018
15,Carl Deffenbaugh,,,,,,,NOISE,Mixed,2018
16,Frank Qin,,'"6''0"""',3,7,1,9,NOISE,Mixed,2018
17,Emily Dayton,,,5,1,3,3,NOISE,Mixed,2018
18,Sarah Mondschein,,,,,,,NOISE,Mixed,2018
19,Haley Hudson,,,1,1,,3,NOISE,Mixed,2018
20,Lauren Perucco,,'"5''5"""',2,2,1,1,NOISE,Mixed,2018
24,Dayu Liu,,,6,7,1,22,NOISE,Mixed,2018
25,Joann Wong,,,,1,,3,NOISE,Mixed,2018
26,Kayla Patterson,,'"5''6"""',4,1,3,7,NOISE,Mixed,2018
27,Mary VanDuyne,,'"5''4"""',,1,1,3,NOISE,Mixed,2018
29,Christopher Reichel,,'"6''0"""',,,,,NOISE,Mixed,2018
29,Peter Scott,,'"6''3"""',,,,,NOISE,Mixed,2018
30,Natan Lee-Engel,,,6,4,,8,NOISE,Mixed,2018
31,Marianna Malin,,'"5''3"""',,,,,NOISE,Mixed,2018
31,Michelle VanSchyndel,,,,,,,NOISE,Mixed,2018
33,Katy Stanton,,,2,3,2,1,NOISE,Mixed,2018
34,Matthew Becker,,'"6''2"""',1,7,2,5,NOISE,Mixed,2018
41,Jenni Davern,,'"5''6"""',,,1,2,NOISE,Mixed,2018
43,Kevin Cannaday,,,2,2,2,3,NOISE,Mixed,2018
53,Arjun Kumar,,'"3''5"""',1,1,1,3,NOISE,Mixed,2018
60,Claire Cech,,,2,1,,5,NOISE,Mixed,2018
77,Jack Kelly,,'"5''11"""',7,1,2,2,NOISE,Mixed,2018
88,Claire Kelley,,'"1''0"""',,,,,NOISE,Mixed,2018
0,Nicholas Alexander,,'"5''8"""',2,2,1,16,Polar Bears,Mixed,2018
0,Jesse Buchsbaum,,'"6''9"""',6,2,1,12,Polar Bears,Mixed,2018
0,Aaron Hom,,'"5''6"""',3,,,1,Polar Bears,Mixed,2018
0,Sean Liston,,,,,,,Polar Bears,Mixed,2018
0,Bob Madden,,'"6''3"""',,2,4,4,Polar Bears,Mixed,2018
0,Alexander Max,,,6,,2,6,Polar Bears,Mixed,2018
0,Sara Nolan,,,,2,1,1,Polar Bears,Mixed,2018
0,Andrew Ouyang,,,5,1,4,,Polar Bears,Mixed,2018
0,Krista Smith,,'"5''3"""',,1,1,1,Polar Bears,Mixed,2018
0,Margot Stert,,'"5''9"""',2,3,3,3,Polar Bears,Mixed,2018
0,Ian Sweeney,,'"6''3"""',3,13,8,14,Polar Bears,Mixed,2018
0,Ryan Takayama,,'"5''9"""',1,2,,,Polar Bears,Mixed,2018
2,Molly Munson,,,,5,3,3,Polar Bears,Mixed,2018
4,Gabriel Edwards,Cutter,,,,,,Polar Bears,Mixed,2018
5,Aaron Shi,,,1,,,,Polar Bears,Mixed,2018
6,Cheryl Hsu,,,3,3,3,7,Polar Bears,Mixed,2018
9,Gregory Marliave,,,7,12,4,6,Polar Bears,Mixed,2018
12,Ziyue Chen,,,,,,,Polar Bears,Mixed,2018
14,Kate Schlag,,,4,1,2,2,Polar Bears,Mixed,2018
15,Nick Tolfa,,'"6''0"""',8,4,2,6,Polar Bears,Mixed,2018
19,Christopher Cogswell,,'"6''2"""',3,1,,3,Polar Bears,Mixed,2018
21,Dulcy Docken,,,,3,1,6,Polar Bears,Mixed,2018
24,Joe Thompson,,'"6''2"""',6,2,1,7,Polar Bears,Mixed,2018
25,Daniel Naruo,,'"5''9"""',8,14,1,8,Polar Bears,Mixed,2018
28,Catherine Chen,,,,1,,2,Polar Bears,Mixed,2018
29,Amanda Meroux,,,4,3,1,4,Polar Bears,Mixed,2018
52,Samantha Applegate,,,5,1,1,3,Polar Bears,Mixed,2018
82,Anchi Tsou,,,4,3,1,6,Polar Bears,Mixed,2018
88,Linh Hoang,,'"1''0"""',1,1,,3,Polar Bears,Mixed,2018
,Rachel Alfano,,,,,,,Loco,Mixed,2018
,Jeffrey Andrews,,'"1''0"""',,,,,Loco,Mixed,2018
,Jessica Brand,,,,,,,Loco,Mixed,2018
,Steven Broome,,,,,,,Loco,Mixed,2018
,Ashley Cantasano,,,,,,,Loco,Mixed,2018
,Ian Coyne,,,,,,,Loco,Mixed,2018
,Sarah Coyne,,'"5''5"""',,,,,Loco,Mixed,2018
,Justin Creighton,,'"5''8"""',,,,,Loco,Mixed,2018
,Andrew Creighton,,,,,,,Loco,Mixed,2018
,Ben Crescenzo,,,,,,,Loco,Mixed,2018
,Ryan Dealy,,'"6''4"""',,,,,Loco,Mixed,2018
,Samuel Esser,,,,,,,Loco,Mixed,2018
,Ryan Forster,,'"2''2"""',,,,,Loco,Mixed,2018
,Declan French,,,,,,,Loco,Mixed,2018
,Will Hoehne,,,,,,,Loco,Mixed,2018
,Austin Lillis,,'"5''10"""',,,,,Loco,Mixed,2018
,Elena Lopez,,'"5''1"""',,,,,Loco,Mixed,2018
,Christopher Pokorny,,,,,,,Loco,Mixed,2018
,Ashwin Pothukuchi,,'"6''1"""',,,,,Loco,Mixed,2018
,Sarah Roberts,,,,,,,Loco,Mixed,2018
,Dustin Sullivan,,,,,,,Loco,Mixed,2018
,Beata Szekeres,,,,,,,Loco,Mixed,2018
,Kenneth Wells,,'"6''7"""',,,,,Loco,Mixed,2018
,Regina Wilkinson,,'"1''0"""',,,,,Loco,Mixed,2018
,Robert Yu,,'"5''10"""',,,,,Loco,Mixed,2018
0,Rachel Crew,,,,,,,Loco,Mixed,2018
0,Lindsay McKenna,,,,,,,Loco,Mixed,2018
0,Eileen Peach Regan,,'"5''7"""',,,,,Loco,Mixed,2018
0,Dana Rose,Cutter,,,,,,Bucket,Mixed,2018
1,James ONeal (Neal) Hollis,Cutter,,,,,,Bucket,Mixed,2018
2,Cori Bradham,Cutter,'"1''0"""',,,,,Bucket,Mixed,2018
3,Aidan Rogers,Handler,'"5''9"""',,,,,Bucket,Mixed,2018
4,RYAN ARCHIBALD,Cutter,'"6''0"""',,,,,Bucket,Mixed,2018
5,Emily Karoblis,Cutter,,,,,,Bucket,Mixed,2018
6,Beret Amundson,Cutter,,,,,,Bucket,Mixed,2018
7,katherine yost,Cutter,'"5''1"""',,,,,Bucket,Mixed,2018
8,Tim Brady,Handler,,,,,,Bucket,Mixed,2018
9,Patrick Dougherty,Cutter,'"6''0"""',,,,,Bucket,Mixed,2018
10,Michael Venezia,Cutter,,,,,,Bucket,Mixed,2018
13,MATTHEW HARDMAN,Handler/Cutter,,,,,,Bucket,Mixed,2018
14,Jenny Choi,Handler,'"1''0"""',,,,,Bucket,Mixed,2018
16,Kenta Kawaguchi,Cutter,'"1''0"""',,,,,Bucket,Mixed,2018
21,Michael Arenson,Handler/Cutter,'"6''2"""',,,,,Bucket,Mixed,2018
23,Elizabeth Jones,Handler,,,,,,Bucket,Mixed,2018
24,Jason Crowe,Cutter,,,,,,Bucket,Mixed,2018
25,robert bradham,Cutter,'"3''7"""',,,,,Bucket,Mixed,2018
29,Katie Franchot,Cutter,,,,,,Bucket,Mixed,2018
30,Conor Brownell,Handler/Cutter,'"5''11"""',,,,,Bucket,Mixed,2018
33,Caroline Taylor,Cutter,,,,,,Bucket,Mixed,2018
41,RYAN SIMMONS,Cutter,,,,,,Bucket,Mixed,2018
44,SAMANTHA HILL,Cutter,'"5''7"""',,,,,Bucket,Mixed,2018
55,Evelina Pierce,Cutter,'"5''10"""',,,,,Bucket,Mixed,2018
58,Brian Walsh,,,,,,,Bucket,Mixed,2018
63,Ahna Weeks,Cutter,'"1''0"""',,,,,Bucket,Mixed,2018
83,Shanye Crawford,Cutter,,,,,,Bucket,Mixed,2018
96,Logan Bonds,Cutter,,,,,,Bucket,Mixed,2018
0,Anna Hagstrom,,,10,,3,1,No Touching!,Mixed,2018
2,Jolien Munsterhuis,,,6,1,1,3,No Touching!,Mixed,2018
3,Brenna Sund,,,,,,1,No Touching!,Mixed,2018
4,Tony Michaelson,,,,2,,2,No Touching!,Mixed,2018
5,Liam Shramko,,,1,2,,,No Touching!,Mixed,2018
7,Brianna Andrighetti,,'"5''3"""',3,1,,1,No Touching!,Mixed,2018
9,Tyler McKean,,'"1''0"""',3,,,4,No Touching!,Mixed,2018
13,Paul Norgaard,,,2,29,4,19,No Touching!,Mixed,2018
14,Ben Nelson,,'"6''2"""',3,7,5,7,No Touching!,Mixed,2018
15,Elisabeth Biehl,,,4,4,2,3,No Touching!,Mixed,2018
16,Lindsay Trosvig,,'"5''6"""',5,5,2,1,No Touching!,Mixed,2018
17,Kristina Golling,,'"5''9"""',7,,2,4,No Touching!,Mixed,2018
18,Jeffrey Trosvig,,'"5''11"""',,,,,No Touching!,Mixed,2018
19,Alyson (Sunny) Gagner,,'"1''0"""',1,,2,2,No Touching!,Mixed,2018
20,Jimmy James McDonald,,,20,4,4,7,No Touching!,Mixed,2018
24,Justin Simanson,,,8,27,3,26,No Touching!,Mixed,2018
26,Joe Andrighetti,,'"6''1"""',3,9,,7,No Touching!,Mixed,2018
27,Michael Swain,,'"6''0"""',3,1,4,4,No Touching!,Mixed,2018
29,Samuel Pepe,,,4,9,1,8,No Touching!,Mixed,2018
31,Anna Shanedling,,,,3,1,8,No Touching!,Mixed,2018
32,Rachel Elbing,,,6,,2,2,No Touching!,Mixed,2018
33,Graham Brayshaw,,,14,10,2,,No Touching!,Mixed,2018
38,Arthi Padmanabhan,,,2,,4,5,No Touching!,Mixed,2018
42,Sam Valesano,,,42,24,3,11,No Touching!,Mixed,2018
64,Michael Lin,,'"5''3"""',6,7,12,14,No Touching!,Mixed,2018
78,Jeremy Keiser,,'"5''9"""',3,7,1,5,No Touching!,Mixed,2018
81,Kevin Ryan,,'"6''0"""',2,8,1,5,No Touching!,Mixed,2018
83,Jeremiah Gagner,,'"6''0"""',4,3,3,4,No Touching!,Mixed,2018
88,Patrick Jensen,,'"6''4"""',11,20,2,15,No Touching!,Mixed,2018
96,Brian Edgerton,,'"6''0"""',1,5,2,19,No Touching!,Mixed,2018
