Team,Number,Player,Position,Height,Goals,Assists,Ds,Turnovers,Division
Madison Club,32,Colin Camp,Cutter,"6'2""",9,16,,3,Open
Madison Club,42,Chase Marty,Cutter,"6'2""",1,1,,,Open
Madison Club,48,Thomas Coolidge,Cutter,"5'8""",8,6,3,4,Open
Madison Club,66,Ted Schewe,Cutter,"6'2""",3,1,,2,Open
Madison Club,68,Benjamin Nelson,Handler,,6,8,1,6,Open
Madison Club,76,Colin Grandon,Cutter,,2,3,,,Open
Madison Club,80,Kevin Pettit-Scantling,Cutter,,5,7,,1,Open
Madison Club,92,Kevin Brown,Cutter,"6'1""",9,20,1,7,Open
Pittsburgh Temper,0,Andrew Kohl,,,4,,3,2,Open
Pittsburgh Temper,1,Max Sheppard,,"6'4""",12,5,3,7,Open
Pittsburgh Temper,2,Jonathan Mast,,"6'1""",4,7,1,7,Open
Pittsburgh Temper,3,Patrick Earles,,"6'2""",9,21,1,12,Open
Pittsburgh Temper,4,David Vatz,,"5'9""",1,1,,,Open
Pittsburgh Temper,6,Anson Reppermund,,,3,2,3,,Open
Pittsburgh Temper,7,Mark Fedorenko,,"6'3""",6,1,,7,Open
Pittsburgh Temper,8,Thomas Edmonds,,"1'0""",6,29,1,12,Open
Pittsburgh Temper,10,Max Thorne,,"5'7""",12,9,4,7,Open
Pittsburgh Temper,11,Leo Warren,,,,8,,1,Open
Pittsburgh Temper,12,Justin Abel,,,3,5,1,2,Open
Pittsburgh Temper,14,Kenny Furdella,,,2,1,2,3,Open
Pittsburgh Temper,15,Dylan Best,,,15,6,3,7,Open
Pittsburgh Temper,17,Matthew Hanna,,,9,5,1,3,Open
Pittsburgh Temper,24,Alexander Thomas,,"6'0""",6,2,1,,Open
Pittsburgh Temper,27,Jasper Tom,,,5,2,3,2,Open
Pittsburgh Temper,29,Hafeez Shams,,"6'0""",2,1,,2,Open
Pittsburgh Temper,35,Dan Goldstein,,"5'7""",,,1,5,Open
Pittsburgh Temper,38,Jonah Wisch,,,5,4,,7,Open
Pittsburgh Temper,42,Marcus Ranii-Dropcho,Handler/Cutter,,8,4,,2,Open
Pittsburgh Temper,43,Jake Rovner,,"5'3""",1,,,1,Open
Pittsburgh Temper,48,Jimmy Towle,,"5'9""",10,6,,1,Open
Pittsburgh Temper,49,Sam Vandusen,,"6'0""",3,13,1,6,Open
Pittsburgh Temper,52,Aaron Collins,Cutter,"6'0""",,,,,Open
Pittsburgh Temper,71,Tad Wissel,,,,1,,1,Open
Pittsburgh Temper,79,Michael Ing,,,4,1,,,Open
Pittsburgh Temper,81,Tyler DeGirolamo,,,18,7,2,3,Open
Guerilla,0,Timothy Gilligan,,"5'10""",8,6,,,Open
Guerilla,0,Jacob Greenberg,,"6'3""",1,1,,,Open
Guerilla,0,Jack Hamner,,"6'3""",1,1,,,Open
Guerilla,0,Andrew Hooker,,"6'0""",,4,,,Open
Guerilla,0,Caleb Merriam,,"5'9""",1,3,,,Open
Guerilla,0,Xavier Jacque Mignot,,,1,,,,Open
Guerilla,0,Mark Philipson,,,,,,,Open
Guerilla,0,Zach Sabin,,,4,1,,,Open
Guerilla,0,Andy Smith,,,1,2,,,Open
Guerilla,0,Jackson Stearns,,,,,,,Open
Guerilla,0,Kevin Tien,,"6'1""",2,,,,Open
Guerilla,2,Samuel Adamson,,,3,6,,,Open
Guerilla,3,Tommy Adams,,,,,,,Open
Guerilla,4,Shane Earley,,,,,,,Open
Guerilla,5,Matthew Crawford,,"6'1""",4,5,,,Open
Guerilla,6,Charles Cao,,"6'0""",,,,,Open
Guerilla,8,Brandon Fein,,,,2,,,Open
Guerilla,9,Andrew Moore,,"6'0""",9,1,,,Open
Guerilla,10,Sonny Zaccaro,,,,5,,,Open
Guerilla,12,Steven Chang SR.,,"6'0""",2,6,,,Open
Guerilla,13,Dillon Whited,,"1'0""",2,3,,,Open
Guerilla,15,Lucas Young,,,1,3,,,Open
Guerilla,18,Eric Greenwood,,"5'6""",4,1,,,Open
Guerilla,20,Sam Swink,,,,1,,,Open
Guerilla,24,Jason Yun,,"5'11""",4,,,,Open
Guerilla,31,Ethan Falat,,,4,3,,,Open
Guerilla,33,Nicholas Hirning,,,5,1,,,Open
Guerilla,42,Matt Jaffe,,"6'1""",,1,,,Open
Guerilla,88,Nicholas Murphy,,,2,,,,Open
Patrol,0,Matthew Glazer,,"5'11""",,,,,Open
Patrol,0,Benjamin Johnson,,"5'9""",,,,,Open
Patrol,0,Kevin Tsui,,"6'0""",,,,,Open
Patrol,0,Jake Butrica,,,,,,,Open
Patrol,0,Reed Forman,,"5'10""",,,,,Open
Patrol,0,Allan Michel,,,,,,,Open
Patrol,0,Eric Witmer,,,,,,,Open
Patrol,1,Nicholas LaRue,,,2,,,,Open
Patrol,3,Paul Klimkowski,,,1,,,1,Open
Patrol,8,Nick Patel,,"5'7""",5,2,1,2,Open
Patrol,9,Himalaya Mehta,,"6'0""",15,8,,3,Open
Patrol,10,Ethan Fortin,,,5,7,,3,Open
Patrol,11,Alex Atkins,,,,8,,2,Open
Patrol,13,Quinn Hunziker,,,4,7,,2,Open
Patrol,16,Trevor Griesman,,"6'2""",,4,,1,Open
Patrol,18,William (Billy) Sickles,,,11,13,2,1,Open
Patrol,19,Tom Allen,,,3,1,1,8,Open
Patrol,20,David Baer,,"5'9""",2,11,1,3,Open
Patrol,21,Francisco Gomez,,"6'5""",,1,,,Open
Patrol,24,Ethan Peck,,"1'0""",11,12,3,8,Open
Patrol,27,Jake Rainwater,,,8,3,,3,Open
Patrol,38,TJ Stanton,,"6'0""",1,1,,1,Open
Patrol,44,Tom O'Connor,,,1,1,,,Open
Patrol,45,Nicholas DiGiorgio,,"5'8""",3,2,,1,Open
Patrol,48,Ryan Weaver,,"6'1""",1,5,,4,Open
Patrol,52,Connor Russell,,"6'5""",10,18,1,6,Open
Patrol,55,Matt Paparone,,,2,1,,,Open
Patrol,61,Daniel Hartsoe,,"1'0""",1,2,,1,Open
Patrol,69,Peter Burt,,"2'6""",3,2,2,1,Open
Patrol,76,Trevor Lynch,,"6'1""",2,,,,Open
Patrol,77,Ryan Brown,,,9,1,,1,Open
Patrol,91,Vincent Reydams,,,5,1,,,Open
Patrol,96,Casey Vaughn,,"5'11""",,1,,,Open
Brute Squad,0,Alexandra Ode,,"5'8""",9,4,,1,Women
Brute Squad,2,Sophie Hulbert,,,5,2,4,4,Women
Brute Squad,3,Courtney Verhaalen,,,7,3,7,4,Women
Brute Squad,4,Lien Hoffmann,,"5'6""",26,9,8,9,Women
Brute Squad,5,Julianna Werffeli,,,7,16,8,18,Women
Brute Squad,6,Claudia Tajima,,"5'6""",4,15,3,8,Women
Brute Squad,7,Kami Groom,,,26,20,21,14,Women
Brute Squad,10,Amber Sinicrope,,"1'0""",13,44,6,22,Women
Brute Squad,12,Nicole Canning,,"1'0""",16,1,6,3,Women
Brute Squad,13,Becky Malinowski,,,16,14,4,10,Women
Brute Squad,14,Tulsa Douglas,,"5'9""",4,10,11,12,Women
Brute Squad,17,Angela Zhu,,"1'0""",7,24,15,24,Women
Brute Squad,21,Chelsea Murphy,,"5'3""",7,4,7,9,Women
Brute Squad,22,Victoria Negus,,,4,,2,2,Women
Brute Squad,26,Elana Schwam,,"5'4""",20,12,7,6,Women
Brute Squad,27,Jessie Grignon Tomas,,"5'7""",27,3,4,18,Women
Brute Squad,28,Shellie Cohen,,,4,9,4,11,Women
Brute Squad,29,Caitlyn Lee,Handler,,20,12,8,9,Women
Brute Squad,32,Megan Wilson,,,,2,,6,Women
Brute Squad,37,Lauren Sadler,,"5'2""",4,2,6,4,Women
Brute Squad,38,Hannah Henkin,,,2,2,,10,Women
Brute Squad,39,Sydney Dobkin,,,,,,,Women
Brute Squad,42,Rachel Kramer,Cutter,,4,6,4,1,Women
Brute Squad,46,Jojo Emerson,Handler,"1'0""",2,17,4,12,Women
Brute Squad,52,Caitlin O'Connell,,,6,2,3,,Women
Brute Squad,71,Cassandra Wong,,"5'3""",11,11,6,13,Women
Brute Squad,83,Alyson Steinfeld,,"5'11""",2,7,4,8,Women
Fury,0,Marika Austin,,,16,2,6,3,Women
